title,body,labels
用户注册与登录功能,基于《docs/Req/Requirements_MVP.md》和《plan/feature-health-platform-1.md》实现注册/登录/登出；邮箱唯一性校验。,"feature,backend,auth"
用户信息编辑功能,实现个人信息编辑（昵称、头像、年龄、性别、体重）。,"feature,backend,frontend"
多用户数据隔离与管理,确保每个用户数据独立，未来支持家庭成员管理（非MVP）。,"feature,architecture"
健康数据录入,录入血压（收缩压/舒张压，范围50-250）、心跳、时间戳、备注、标签。,"feature,backend,frontend"
血压录入范围校验（50-250）,在后端与前端均做校验与错误提示。,"bug,validation"
标签管理与多标签选择,支持创建/选择多个标签，供筛选与统计。,"feature,frontend"
历史记录展示与筛选,按时间倒序展示，支持按日期/标签筛选。,"feature,frontend"
折线图报表（关键时间点趋势）,展示最近一周8:00、12:00、20:00的血压趋势。,"feature,frontend,charts"
表格视图开发,展示原始数据列表，支持排序与筛选。,"feature,frontend"
报表图片下载/截图功能,支持图表导出为PNG等图片格式。,"feature,frontend,export"
响应式设计适配,适配手机与桌面端。,"chore,frontend"
数据安全与隐私保护,口令哈希、会话安全、最小化暴露。,"security,backend"
MVP阶段功能测试,编写关键接口与前端的单元测试/集成测试。,"testing"
容器化与Azure部署配置,提供Dockerfile与Azure WebApp/AKS配置。,"devops,azure"
未来扩展：家庭成员管理,记录备选功能，暂不纳入MVP。,"future"
未来扩展：CSV导出与医生在线查看,记录备选功能，暂不纳入MVP。,"future,export"
未来扩展：微信小程序接入,记录备选功能，暂不纳入MVP。,"future,wechat"
未来扩展：聊天查询与筛选,记录备选功能，暂不纳入MVP。,"future,chat"
Workshop 简化：共享 AKS 集群 + 分支=namespace 自动部署,"落地需求文档：docs/requirements/req-workshop-aks-shared-cluster.md。验收覆盖：A 本地运行；B Copilot 完成 req-health-record-validation-update 并测试通过；C 提交触发自动部署到 AKS 且可访问前端（LoadBalancer）；D 生成系统功能说明与 PPT 需求书。非功能：安全/隔离/可追溯/成本意识；管理员前置仅列准备清单。","devops,azure,security,testing"
